"";"V1";"V2";"V3"
"1";"*pers_MacChesney-Alfred-Brunson";"1.85008681939502";"-0.806541586490727"
"2";"*pers_Bacon-Paul";"1.94700499405243";"-0.861876119774743"
"3";"*date_1950-09-9";"-0.492000996029319";"1.62057504556317"
"4";"*date_1952-03-19";"-0.247108230443439";"1.57479787693292"
"5";"*date_1952-07-01";"0.418722985510899";"0.536286113805368"
"6";"*location_la-haye";"0.544864630343324";"0.519844459413713"
"7";"*pers_Blamont-Emile";"1.86162255558573";"-0.703064157692447"
"8";"*date_1949-10-30";"-0.642016504085192";"1.53483268856322"
"9";"*pers_Hubert-Lucien-Louis-Théodore";"2.28916557115471";"-1.07674769756738"
"10";"*date_1950-08-14";"-0.183096554185296";"1.43007085846868"
"11";"*pers_Acheson-Dean";"-0.101936495413252";"0.82407913904151"
"12";"*location_bonn";"0.533369022083535";"0.112763866193963"
"13";"*date_1951-03-9";"0.517249753976622";"0.694066750223088"
"14";"*pers_Hoffmann-Johannes";"0.517249753976622";"0.694066750223088"
"15";"*date_1950-09-16";"0.0491592712811773";"1.42723786902824"
"16";"*location_strasbourg";"-0.113737643143486";"0.927126263509847"
"17";"*date_1951-01-22";"0.0750752899814713";"0.0167224002616494"
"18";"*date_1951-01-6";"1.79821225687125";"-0.76320027327629"
"19";"*pers_Adenauer-Konrad";"0.537518560609416";"0.678641073759355"
"20";"*location_sarre";"0.819145399326938";"0.0264059309520237"
"21";"*date_1950-08-15";"2.53199421894037";"-0.846389448993365"
"22";"*pers_Pilotti-Massimo";"1.96882215127295";"-0.371841743575646"
"23";"*pers_Quaroni-Pietro";"1.96882215127295";"-0.371841743575646"
"24";"*pers_Van-Helmont-Jacques";"0.260182362626724";"0.0675141818727282"
"25";"*date_1950-11-30";"0.260182362626724";"0.0675141818727282"
"26";"*pers_Desjeunes-Suzanne";"0.260182362626724";"0.0675141818727282"
"27";"*pers_Le-Vert-Paul-Maurice";"0.311837064218694";"0.729131203252369"
"28";"*location_inde";"0.676864343232772";"0.511262941588585"
"29";"*location_berlin";"-0.484698648876125";"1.41220075479634"
"30";"*date_1950-11-13";"1.28986532522635";"-0.124552548103548"
"31";"*date_1951-05-15";"2.41398469247383";"-0.735584258792799"
"32";"*pers_Erhard-Ludwig";"0.930402401681109";"0.170407117800182"
"33";"*location_genève";"0.563456182315748";"0.598536469402781"
"34";"*date_1951-10-10";"0.563456182315748";"0.598536469402781"
"35";"*pers_Brunet-Jean-Pierre";"0.563456182315748";"0.598536469402781"
"36";"*pers_Churchill-Sir-Winston-Leonard-Spencer";"-0.0812933608952929";"0.57269315907526"
"37";"*pers_Harvey-Oliver-Charles";"-0.0812933608952929";"0.57269315907526"
"38";"*date_1952-07-29";"1.00088766013856";"0.261910004976595"
"39";"*date_1953-01-06";"0.469844791039125";"0.76053336087914"
"40";"*pers_Durand-André-Gaston";"1.45461232436327";"-1.14458086805995"
"41";"*pers_Spierenburg-Dirk-Pieter";"1.32406309408097";"-0.207818368649146"
"42";"*pers_Finnet-Paul-C.E.";"1.06070734941347";"0.215875616678997"
"43";"*pers_Atlee-Clement";"1.40350577122919";"0.161976289915119"
"44";"*pers_Strang-Sir-William";"1.40350577122919";"0.161976289915119"
"45";"*pers_Colin-André";"2.94502756157326";"-1.23420761469534"
"46";"*date_1949-05-17";"2.94502756157326";"-1.23420761469534"
"47";"*pers_Regan";"2.94502756157326";"-1.23420761469534"
"48";"*pers_Mayer-Daniel";"2.94502756157326";"-1.23420761469534"
"49";"*pers_Moch-Jules";"2.94502756157326";"-1.23420761469534"
"50";"*pers_Eden-Anthony";"0.0692441898901481";"0.60669163246052"
"51";"*pers_Ségalat-André";"2.03776227423706";"-0.536019392181773"
"52";"*pers_Hallstein-Walter";"0.48891333064293";"0.64606198614124"
"53";"*date_1950-12-28";"1.48926099739913";"-0.347741155297489"
"54";"*date_1951-03-10";"1.03977045816725";"0.231987652583156"
"55";"*pers_Hayter-Sir-William-Goodenough";"-0.10424597797333";"0.620032877943266"
"56";"*date_1951-02-3";"1.13293173125473";"-0.0496813641973846"
"57";"*location_indochine";"-0.378779820209217";"0.107001194411223"
"58";"*pers_Bowie-Robert-Richardson";"0.905587384499617";"0.182995094692552"
"59";"*pers_Labbé-Roland-Georges-Joseph-Marie";"0.611643180193543";"-0.762508764721254"
"60";"*date_1951-09-25";"0.0999296531007865";"0.602091938647048"
"61";"*location_ottawa";"-0.533634547951709";"0.121716435114179"
"62";"*pers_Bruce-David";"0.597414068964309";"0.579351167031525"
"63";"*pers_Plowden-Edwin-Noel";"0.180015336825116";"0.349090908931143"
"64";"*location_russie";"0.0399715704066249";"0.973299071064134"
"65";"*location_pologne";"0.0399715704066249";"0.973299071064134"
"66";"*location_chine";"0.0399715704066249";"0.973299071064134"
"67";"*date_1952-07-9";"0.0399715704066249";"0.973299071064134"
"68";"*pers_De-Gasperi-Alcide";"0.0399715704066248";"0.973299071064134"
"69";"*date_1950-12-3";"2.94502756157326";"-1.23420761469534"
"70";"*pers_Pelou-Maurice";"2.03776227423706";"-0.536019392181773"
"71";"*date_1950-09-14";"-0.542309532187726";"0.914914200709819"
"72";"*pers_Bourgès-Manoury-Maurice";"-0.340334313171844";"-0.0404966759922532"
"73";"*pers_Hoffman-Paul-Gray";"0.43654458006142";"-0.290138463101646"
"74";"*pers_Cripps-Sir-Stafford";"0.43654458006142";"-0.290138463101646"
"75";"*pers_Jouhaux-Léon";"0.43654458006142";"-0.290138463101646"
"76";"*location_californie";"0.43654458006142";"-0.290138463101646"
"77";"*pers_Suetens-Max";"1.50407681109813";"-0.125320437762025"
"78";"*pers_Charpentier-Pierre-Albert";"1.50407681109813";"-0.125320437762025"
"79";"*pers_Poher-Alain-Emile-Louis-Marie";"1.50407681109813";"-0.125320437762025"
"80";"*date_1950-09-28";"0.228494315872909";"0.788014538037642"
"81";"*location_norvège";"0.133608090931868";"0.776270789961471"
"82";"*date_1953-05-9";"0.133608090931868";"0.776270789961471"
"83";"*location_danemark";"0.133608090931868";"0.776270789961471"
"84";"*location_quai-d-orsay";"0.133608090931868";"0.776270789961471"
"85";"*location_afrique";"0.133608090931868";"0.776270789961471"
"86";"*location_gênes";"0.133608090931868";"0.776270789961471"
"87";"*location_suède";"0.133608090931868";"0.776270789961471"
"88";"*location_suisse";"0.133608090931868";"0.776270789961471"
"89";"*location_dakar";"0.133608090931868";"0.776270789961471"
"90";"*date_1952-07-18";"-0.150082383568111";"1.38378161176178"
"91";"*pers_Marjolin-Robert-Ernest";"1.77854362071244";"-0.336537042892181"
"92";"*pers_François-Poncet-André";"0.115380668593139";"0.899185257853537"
"93";"*date_1950-05-07";"0.0552022295991908";"1.32550780318773"
"94";"*date_1951-01-17";"0.248128758006197";"-0.0368455820359387"
"95";"*pers_Tomlinson-William-Mahon";"1.15461320077296";"-0.0608465749949743"
"96";"*pers_Baraduc-Pierre-Jacques";"0.779814564843583";"0.0251659151883416"
"97";"*date_1951-12-28";"0.779814564843583";"0.0251659151883416"
"98";"*date_1952-07-23";"1.01988540671338";"0.317257588529255"
"99";"*date_1952-01-25";"1.32324088935191";"-0.629168935449367"
"100";"*pers_Ely-Paul-Henry-Romuald";"1.32324088935191";"-0.629168935449367"
"101";"*date_1953-01-7";"2.03776227423706";"-0.536019392181773"
"102";"*pers_Finet-Paul-C.E.";"1.70592753367459";"-0.0707531175894052"
"103";"*date_1953-02-19";"1.70592753367459";"-0.0707531175894052"
"104";"*date_1950-12-6";"1.41821226028773";"0.0457078563711969"
"105";"*date_1953-04-27";"1.13049698690087";"0.162168830331799"
"106";"*pers_Valay-Gabriel";"-0.829597463265977";"-0.0172981706818053"
"107";"*date_1950-06-06";"-0.829597463265977";"-0.0172981706818053"
"108";"*pers_Ophuels-Carl-Friedrich";"0.963767270587229";"0.484231818799589"
"109";"*date_1951-05-08";"0.73096453495325";"0.654837687032544"
"110";"*pers_Harriman-William-Averell";"-0.227422866528946";"-0.345980358718935"
"111";"*pers_Etzel-Franz";"0.473251609961913";"-0.460642300586881"
"112";"*pers_Giacchero-Enzo";"0.473251609961913";"-0.460642300586881"
"113";"*date_1952-04-10";"0.314961411885684";"0.623469626184398"
"114";"*date_1951-02-7";"0.89452805842081";"-0.685058661409923"
"115";"*date_1951-03-19";"1.08637751972525";"0.510974130963565"
"116";"*date_1950-12-22";"0.450898690989396";"0.648348012472426"
