*pers_Bourbon-Busset-Jacques-Louis-Robert-Marie;2;8;0;18
*date_1952-02-01;1;20;6;8
*pers_Westrick-Ludger;30;1;3;6
*pers_Marjolin-Robert-Ernest;3;0;0;4
*date_1950-12-4;61;14;112;8
*pers_Blamont-Emile;10;0;2;22
*date_1950-12-6;2;1;0;3
*pers_Valéry-François;9;0;0;8
*date_1950-12-3;0;0;0;2
*date_1947-10-02;3;5;4;30
*location_atlantique;29;171;53;34
*date_1947-10-04;0;0;0;12
*pers_Adenauer-Konrad;107;92;8;72
*pers_Colin-André;0;0;0;3
*pers_Bacon-Paul;9;0;3;27
*date_1951-05-18;0;0;1;5
*pers_Plowden-Edwin-Noel;4;20;7;12
*pers_Labbé-Roland-Georges-Joseph-Marie;5;6;10;15
*location_usa;68;81;131;9
*date_1950-09-28;10;6;1;3
*pers_Schneiter-Pierre;5;26;2;3
*location_bonn;110;113;54;129
*date_1951-05-15;0;1;0;6
*pers_Ferry-Jacques;5;6;10;15
*pers_Marshall-George-Catlett;14;23;64;65
*pers_Spierenburg-Dirk-Pieter;15;3;2;18
*location_pays-bas;72;16;117;5
*pers_Saxon-James-Joseph;0;0;0;11
*pers_Hommel-Nicolas;0;0;0;9
*pers_Ramadier-Paul;3;6;29;42
*location_ruhr;214;86;145;90
*date_1952-03-19;3;30;1;5
*date_1952-02-15;9;0;2;3
*location_norvège;9;16;3;7
*location_genève;7;0;0;1
*pers_Serrarens-Petrus;9;0;0;4
*date_1950-11-28;0;0;0;9
*pers_François-Poncet-André;18;21;3;8
*date_1951-03-24;1;0;0;8
*date_1952-02-18;2;4;9;1
*date_1948-04-18;0;14;9;15
*date_1950-10-14;6;23;0;3
*date_1949-10-30;8;25;3;0
*date_1951-01-6;7;0;2;16
*date_1952-07-29;10;0;0;4
*pers_Pilotti-Massimo;2;3;0;12
*date_1952-07-23;5;1;0;3
*date_1952-07-22;11;3;0;19
*date_1952-06-28;49;2;1;9
*date_1950-12-22;7;7;1;5
*pers_Bruce-David;25;17;2;16
*pers_Ophuels-Carl-Friedrich;4;4;0;5
*date_1952-01-6;1;1;0;2
*location_lisbonne;28;50;42;19
*date_1950-12-28;10;0;1;11
*location_belgique;74;18;117;10
*pers_Van-Helmont-Jacques;20;2;5;5
*date_1952-06-26;0;0;0;3
*date_1951-01-17;6;1;2;2
*location_russie;8;15;2;5
*location_pologne;8;15;2;5
*location_bordeaux;0;3;7;7
*pers_Blum-Léon;3;5;4;30
*location_paris;86;98;22;109
*pers_Gouin-Félix;0;0;0;11
*pers_McCloy-Jonh-Jay;67;38;7;41
*pers_Baraduc-Pierre-Jacques;1;6;2;7
*date_1950-11-30;20;2;5;5
*location_benelux;129;137;133;38
*pers_Auriol-Vincent;0;0;0;11
*location_sarre;77;28;17;64
*location_grande-bretagne;102;126;169;31
*pers_Reynaud-Paul;0;1;0;8
*date_1948-05-10;0;3;7;7
*pers_Philip-André;0;1;0;8
*pers_Bevin-Ernest;8;55;5;7
*pers_Finet-Paul-C.E.;0;1;0;2
*date_1951-05-8;3;1;0;2
*date_1950-09-9;0;27;2;3
*date_1951-10-10;7;0;0;1
*pers_Passe-Georges;5;6;10;15
*pers_Maud'Huy-Bertrand-de;0;0;1;2
*pers_Massigli-René;2;6;0;10
*pers_Mollet-Guy;28;4;5;51
*pers_Hoffman-Paul-Gray;0;14;9;15
*pers_Valay-Gabriel;1;6;5;1
*location_moselle;0;0;1;5
*date_1951-01-22;25;3;8;5
*date_1951-02-3;19;3;2;16
*date_1951-01-27;2;2;0;5
*date_1951-02-7;2;0;1;2
*date_1947-05-12;1;5;100;3
*date_1950-06-06;1;6;5;1
*pers_Pleven-René;23;127;25;56
*pers_Snyder-John-Wesley;3;5;4;41
*pers_Bonnefous-Edouard;0;1;0;8
*pers_Tomlinson-William-Mahon;8;2;1;8
*pers_Hubert-Lucien-Louis-Théodore;0;1;1;11
*date_1953-02-19;0;1;0;2
*location_ottawa;21;43;33;11
*pers_Caffery-Jefferson;3;5;4;37
*pers_Daum-Léon;1;2;2;3
*date_1952-04-10;3;5;1;3
*date_1953-02-10;0;2;0;1
*pers_Wehrer-Albert;3;4;2;17
*location_strasbourg;67;82;17;20
*location_italie;136;101;135;66
*location_berlin;16;25;3;0
*pers_Uri-Pierre-Emmanuel;11;3;0;19
*pers_MacChesney-Alfred-Brunson;3;5;4;30
*date_1951-12-12;0;0;0;2
*date_1952-07-18;5;3;0;0
*pers_Pinay-Antoine;10;9;1;18
*date_1952-01-25;3;0;1;4
*location_chine;8;15;2;5
*pers_Etzel-Franz;1;2;2;3
*pers_Thibodeaux-Ben.-H.;0;0;0;7
*location_tunisie;1;1;3;9
*pers_Quaroni-Pietro;2;3;0;12
*pers_Louvel-Jean-Marie;66;13;23;70
*date_1952-10-2;1;0;2;2
*pers_Willner-Sydney-H;21;1;1;3
*pers_Suetens-Max;9;0;0;8
*date_1950-06-14;2;6;0;10
*pers_Coppé-Albert;0;2;0;1
*location_angleterre;2;30;0;2
*pers_Durand-André-Gaston;1;1;3;9
*date_1950-09-22;2;30;0;2
*location_corée;10;122;8;8
*date_1953-01-06;10;2;0;2
*date_1952-07-9;8;15;2;5
*pers_Atlee-Clement;2;6;0;10
*pers_Brunet-Jean-Pierre;7;0;0;1
*pers_Cripps-Sir-Stafford;0;14;9;15
*pers_Chauvel-Jean-Michel-Henri;0;0;0;11
*date_1952-07-01;21;1;1;3
*date_1951-12-28;1;6;2;7
*date_1953-05-9;9;16;3;7
*pers_Desjeunes-Suzanne;20;2;5;5
*location_la-havane;52;14;112;0
*date_1951-12-22;11;41;31;7
*pers_Bourgès-Manoury-Maurice;13;41;32;18
*pers_Henle-Guenter;21;1;1;3
*location_indochine;3;24;15;9
*pers_Churchill-Sir-Winston-Leonard-Spencer;1;20;6;8
*date_1948-06-25;8;1;28;2
*location_france;274;413;337;161
*pers_Pelou-Maurice;2;0;0;4
*location_luxembourg;121;38;122;54
*location_lorraine;5;8;2;17
*pers_Clappier-Bernard;5;57;4;27
*date_1952-07-10;0;0;0;3
*pers_Schuman-Robert;272;322;158;303
*date_1950-09-16;4;22;0;6
*date_1950-09-14;1;7;2;1
*date_1950-09-18;4;46;6;1
*pers_Spaak-Paul-Henri;11;17;9;22
*pers_Charpentier-Pierre-Albert;9;0;0;8
*location_danemark;9;16;3;7
*location_maroc;11;41;31;7
*pers_Ely-Paul-Henry-Romuald;3;0;1;4
*pers_Acheson-Dean;18;48;11;15
*location_quai-d-orsay;9;16;3;7
*location_europe;125;321;196;49
*location_bruxelles;29;80;43;19
*pers_Guindey-Guillaume;3;5;4;42
*pers_Erhard-Ludwig;32;9;3;23
*date_1952-10-17;3;0;0;4
*location_inde;10;0;0;2
*location_afrique;9;16;3;7
*date_1950-11-13;5;8;2;17
*location_la-haye;25;3;1;6
*date_1950-11-10;0;0;1;2
*date_1950-11-17;5;6;10;15
*date_1949-05-17;0;0;0;3
*pers_Henckes-J.B.;0;0;0;9
*pers_Jouhaux-Léon;0;14;9;15
*location_new-york;22;108;7;13
*pers_Parodi-Alexandre;5;56;4;10
*pers_Harvey-Oliver-Charles;1;20;6;8
*pers_Hallstein-Walter;86;86;11;64
*pers_Bowie-Robert-Richardson;26;10;3;21
*pers_Denis-Pierre;8;11;14;45
*pers_Strang-Sir-William;2;6;0;10
*pers_Queuille-Henri;2;0;16;6
*pers_Petsche-Maurice;9;0;3;28
*location_washington;31;129;31;101
*date_1953-01-7;1;0;0;2
*pers_Henry-Pierre;0;1;0;8
*pers_Hayter-Sir-William-Goodenough;8;22;7;8
*pers_Teitgen-Pierre-Henri;0;0;0;11
*pers_Mayer-René;31;65;73;71
*pers_Poher-Alain-Emile-Louis-Marie;9;0;0;8
*pers_Harriman-William-Averell;12;6;11;5
*date_1953-04-27;2;0;0;1
*location_gênes;9;16;3;7
*location_pentagone;6;23;0;3
*date_1948-05-7;1;1;3;12
*date_1950-05-01;0;39;12;0
*location_royaume-uni;16;89;11;15
*pers_Finnet-Paul-C.E.;9;0;0;4
*date_1950-05-07;5;8;0;2
*date_1951-03-9;16;2;0;3
*location_suède;9;16;3;7
*pers_Regan;0;0;0;3
*pers_Watts-Philip-H.;3;5;4;30
*pers_Hirsch-Etienne;24;23;21;49
*pers_Bidault-Georges;11;12;39;20
*date_1951-03-10;7;0;0;3
*pers_Eden-Anthony;18;35;10;16
*location_amérique;25;128;46;17
*date_1951-03-19;0;1;0;1
*date_1949-04-09;2;0;16;3
*location_californie;0;14;9;15
*location_allemagne;183;219;146;81
*pers_Mayer-Daniel;0;0;0;3
*date_1951-05-08;7;5;0;5
*pers_Aubrun-Jules;10;14;12;33
*date_1950-08-15;0;1;0;8
*date_1950-08-14;29;20;0;0
*date_1952-12-01;1;0;0;2
*date_1951-09-25;7;2;1;1
*pers_Bonnet-Henri;4;19;13;60
*pers_Buron-Robert-Albert-Gaston;9;0;4;29
*pers_Ségalat-André;3;0;0;6
*pers_Faure-Edgar-Jean;11;4;12;28
*location_suisse;9;16;3;7
*location_etats-unis;4;46;6;12
*pers_Herter-Christian-Archibald;3;5;4;41
*pers_Moch-Jules;0;0;0;3
*location_dakar;9;16;3;7
*pers_Aron-Alexis;24;9;12;31
*pers_Hoffmann-Johannes;16;2;0;3
*pers_Couve-de-Murville-Jacques-Maurice;5;56;4;10
*pers_Giacchero-Enzo;1;2;2;3
*pers_Le-Vert-Paul-Maurice;33;18;3;11
*pers_Monnet-Jean;278;321;180;331
*pers_De-Gasperi-Alcide;8;15;2;5